id,name,amount,annual_rate,capital_valuation,risk_category,term_remaining,loan_term,ltv,your_net_instructions,mla_accrued_interest,your_total_holding,your_access_holdings,your_mla_holdings,units_available,last_updated,trading_status,next_payment_date,your_standard_notes,your_isa_notes
1477,Lisburn Road Developments Limited - Glenview,1650000,8,100,Medium Low,1,42,48.86430742,,,10.15621627,10.15621627,,0,2025-01-14 08:00:00 +08:00,monitoring event,2025-01-27,,
1455,Hassocky Holdings Ltd | Chesterfield,756000,6.55,99.8,Medium,19,60,49.43473571,,,3.685300137,3.685300137,,0,2023-07-24 21:22:10 +08:00,,2025-01-13,,
1450,Kays Traffic Management Systems Limited -  Refinance Loan,342750,6.05,100,Default,4,45,17.13046,,,0.9022475467,0.9022475467,,0,2025-01-27 19:12:23 +08:00,credit event suspended,2022-11-11,,
1431,Greys Leisure Limited - Tickle Toby Inn,370000,6,100,Medium High,18,60,64.23803434,,,2.385216328,2.385216328,,242851.7586,2023-03-29 22:04:45 +08:00,,2025-02-02,,
1430,Limavady Road Properties Limited-  Commercial Mortgage,2600000,7,100,Medium,1,43,61.05761004,,,13.22578349,13.22578349,,0,2025-01-22 22:34:11 +08:00,monitoring event,2024-11-30,,
1274,Damon & Celia Haughey (Partnership),350000,6,100,Medium,2,60,48.484288,,,1.707972924,1.707972924,,0,2025-01-28 21:59:17 +08:00,,2025-03-06,,
1267,Nigel Willetts t/a The Bridge End Inn,199272.73,6,100,Medium,4,63,57.92812333,,,1.167693612,1.167693612,,0,2024-05-08 18:29:54 +08:00,,2025-02-25,,
1266,Relentless Hotel Investments Limited Trading as Fairlands Hotel,501104.45,6,100,Default,7,63,50.6965035,,,2.710121423,2.710121423,,0,2025-01-28 20:05:26 +08:00,credit event suspended,2024-11-24,,
1260,ESPS Developments Ltd - Buy-to-let Loan,625000,6,99.9,Medium Low,1,60,50.37919827,,,2.799844749,2.799844749,,249450.846,2024-09-18 18:12:14 +08:00,,2025-02-18,,
1248,Inglewood Residential Home Limited | Willenhall,320000,6,99.8,Medium,1,60,46.07862,,,1.497041356,1.497041356,,212350.9838,2024-11-04 20:35:49 +08:00,,2025-02-03,,
1242,Alvin Isherwood -  Bolton,469704.31,6,100,Medium High,3,63,65.3413584,,,3.034056389,3.034056389,,46970.55276,2023-03-29 22:25:06 +08:00,monitoring event,2025-02-22,,
1240,KHL Gower Ltd,1095000,6.75,100,Medium,1,61,50.71819744,,,5.979986822,5.979986822,,0,2025-01-23 23:43:32 +08:00,monitoring event,2025-01-23,,
1239,Peter Eyre Sports Bars,609706.91,0,100,Default,1,59,51.38652095,,,3.626008638,3.626008638,,0,2024-12-11 17:20:58 +08:00,credit event suspended,2023-02-17,,
1235,Halle Holding Ltd - Loan 2,590000,7,100,Medium Low,3,63,49.113109,,,3.187138866,3.187138866,,0,2025-01-27 21:05:20 +08:00,monitoring event,2025-02-16,,
1227,Mr and Mrs Vijayakumar T/A The Stores,147000,7,99.8,Medium,3,63,64.74107,,,0.8459612914,0.8459612914,,0,2025-01-10 00:42:34 +08:00,monitoring event,2025-02-07,,
1226,Harmony House Healthcare Limited | Bridlington,4287761.41,0,58.31,Default,1,61,68.17460317,,,30.14745737,30.14745737,,0,2025-01-15 17:50:05 +08:00,credit event suspended,2022-11-04,,
1222,Close Paddock Property Limited (Osbaldwick Property),434092.31,6,99.35,Medium High,4,64,63.65712,,,2.797869957,2.797869957,,43897.92825,2024-10-17 17:25:53 +08:00,,2025-02-08,,
1221,Crown & Falcon Public House Limited,272506.21,6,100,Medium,3,64,64.77434667,,,1.748077574,1.748077574,,0,2025-01-27 20:08:24 +08:00,,2025-02-22,,
1219,Fartown Stores Limited | Huddersfield,275470.15,6,100,Medium Low,3,64,57.53571807,,,1.582541132,1.582541132,,28819.6585,2025-01-27 20:05:23 +08:00,,2025-02-19,,
1217,Hotel 52 (Sea) Limited,1176949.91,0,0,Default,0,57,21.0097,,,2.816414999,2.816414999,,0,2024-09-02 21:24:28 +08:00,credit event suspended,2022-07-21,,
1214,Cornish Blue Ltd,431288.96,6.25,100,Medium High,3,64,74.36016552,,,2.989907618,2.989907618,,43229.32186,2024-12-11 20:49:51 +08:00,,2025-02-20,,
1206,Uptown Promotions Ltd  | lkeston,116066.74,6,100,Medium,3,64,57.49074857,,,0.6595488947,0.6595488947,,12652.84857,2024-09-25 19:17:41 +08:00,,2025-02-18,,
1197,Pennar Homes Limited Refinance | Pembrokeshire,2144259.9,0,88.19,High,3,63,66.53465757,,,15.64159442,15.64159442,,0,2024-12-13 22:22:46 +08:00,credit event suspended,2023-03-31,,
1178,H&H Tangiyan t/a The Broadway,534844.73,6,100,Medium High,1,63,65.10073467,,,3.530541246,3.530541246,,0,2025-01-27 19:54:01 +08:00,,2025-02-07,,
1172,Corundum Limited | Stafford,285000,6,100,Medium,1,63,55.33980583,,,2.119086339,2.119086339,,0,2025-01-14 08:00:00 +08:00,monitoring event,2024-12-31,,
1169,J R Properties - Shrewsbury,571175.68,6,99.15,Medium High,1,63,49.681845,,,3.279853979,3.279853979,,0,2025-01-20 18:09:14 +08:00,monitoring event,2025-01-29,,
